customer_id,customer_name,industry,email,phone,city,account_status
C00001,Customer_1,Logistics,customer1@company.com,9573348541,Washington DC,Active
C00002,Customer_2,Services,customer2@company.com,4518824419,Washington DC,On Hold
C00003,Customer_3,Retail,customer3@company.com,3122039319,Washington DC,Active
C00004,Customer_4,Services,customer4@company.com,2551970603,Rockville,Active
C00005,Customer_5,Services,customer5@company.com,2112349238,Columbia,Active
C00006,Customer_6,Manufacturing,customer6@company.com,4956358141,Columbia,Active
C00007,Customer_7,Retail,customer7@company.com,8889688604,Washington DC,Active
C00008,Customer_8,Retail,customer8@company.com,7300012324,Columbia,Active
C00009,Customer_9,Retail,customer9@company.com,2362443485,Columbia,Active
C00010,Customer_10,Services,customer10@company.com,3113321396,Washington DC,On Hold
C00011,Customer_11,Logistics,customer11@company.com,6376260866,Fairfax,Active
C00012,Customer_12,Retail,customer12@company.com,2154158201,Fairfax,Active
C00013,Customer_13,Services,customer13@company.com,5929284358,Washington DC,On Hold
C00014,Customer_14,Manufacturing,customer14@company.com,3511899696,Rockville,Active
C00015,Customer_15,Logistics,customer15@company.com,3764411208,Columbia,Active
C00016,Customer_16,Manufacturing,customer16@company.com,2078905640,Columbia,Active
C00017,Customer_17,Logistics,customer17@company.com,7456849484,Fairfax,Active
C00018,Customer_18,Services,customer18@company.com,5456271797,Washington DC,Active
C00019,Customer_19,Healthcare,customer19@company.com,4643513540,Rockville,Active
C00020,Customer_20,Logistics,customer20@company.com,5237463010,Washington DC,Active
C00021,Customer_21,Manufacturing,customer21@company.com,3920768410,Fairfax,Active
C00022,Customer_22,Services,customer22@company.com,7625244191,Fairfax,Active
C00023,Customer_23,Logistics,customer23@company.com,8368620863,Columbia,Active
C00024,Customer_24,Healthcare,customer24@company.com,7682546956,Baltimore,Active
C00025,Customer_25,Healthcare,customer25@company.com,5603353436,Rockville,Active
C00026,Customer_26,Retail,customer26@company.com,3278498876,Rockville,Active
C00027,Customer_27,Retail,customer27@company.com,9128630535,Baltimore,Active
C00028,Customer_28,Manufacturing,customer28@company.com,2588334174,Fairfax,Active
C00029,Customer_29,Logistics,customer29@company.com,4950069149,Washington DC,Active
C00030,Customer_30,Logistics,customer30@company.com,8908812042,Rockville,On Hold
